Train_sizes,Score,Set
23,,Training
23,,Validation
23,,Training
23,,Validation
23,,Training
23,,Validation
23,,Training
23,,Validation
23,,Training
23,,Validation
31,,Training
31,,Validation
31,,Training
31,,Validation
31,,Training
31,,Validation
31,,Training
31,,Validation
31,,Training
31,,Validation
38,,Training
38,,Validation
38,,Training
38,,Validation
38,,Training
38,,Validation
38,,Training
38,,Validation
38,,Training
38,,Validation
45,,Training
45,,Validation
45,,Training
45,,Validation
45,,Training
45,,Validation
45,,Training
45,,Validation
45,,Training
45,,Validation
53,,Training
53,,Validation
53,,Training
53,,Validation
53,,Training
53,,Validation
53,,Training
53,,Validation
53,,Training
53,,Validation
60,,Training
60,,Validation
60,,Training
60,,Validation
60,,Training
60,,Validation
60,,Training
60,,Validation
60,,Training
60,,Validation
68,,Training
68,,Validation
68,,Training
68,,Validation
68,,Training
68,,Validation
68,,Training
68,,Validation
68,,Training
68,,Validation
75,,Training
75,,Validation
75,,Training
75,,Validation
75,,Training
75,,Validation
75,,Training
75,,Validation
75,,Training
75,,Validation
82,,Training
82,,Validation
82,,Training
82,,Validation
82,,Training
82,,Validation
82,,Training
82,,Validation
82,,Training
82,,Validation
90,,Training
90,,Validation
90,,Training
90,,Validation
90,,Training
90,,Validation
90,,Training
90,,Validation
90,,Training
90,,Validation
97,,Training
97,,Validation
97,,Training
97,,Validation
97,,Training
97,,Validation
97,,Training
97,,Validation
97,,Training
97,,Validation
105,,Training
105,,Validation
105,,Training
105,,Validation
105,,Training
105,,Validation
105,,Training
105,,Validation
105,,Training
105,,Validation
112,,Training
112,,Validation
112,,Training
112,,Validation
112,,Training
112,,Validation
112,,Training
112,,Validation
112,,Training
112,,Validation
119,,Training
119,,Validation
119,,Training
119,,Validation
119,,Training
119,,Validation
119,,Training
119,,Validation
119,,Training
119,,Validation
127,0.968503937007874,Training
127,0.6,Validation
127,0.9921259842519685,Training
127,0.65,Validation
127,1.0,Training
127,0.6833333333333333,Validation
127,0.9921259842519685,Training
127,0.6779661016949152,Validation
127,1.0,Training
127,0.5254237288135594,Validation
134,0.9701492537313433,Training
134,0.7166666666666667,Validation
134,1.0,Training
134,0.8833333333333333,Validation
