Train_sizes,Score,Set
23,,Training
23,,Validation
23,,Training
23,,Validation
23,,Training
23,,Validation
23,,Training
23,,Validation
23,,Training
23,,Validation
31,,Training
31,,Validation
31,,Training
31,,Validation
31,,Training
31,,Validation
31,,Training
31,,Validation
31,,Training
31,,Validation
38,,Training
38,,Validation
38,,Training
38,,Validation
38,,Training
38,,Validation
38,,Training
38,,Validation
38,,Training
38,,Validation
45,,Training
45,,Validation
45,,Training
45,,Validation
45,,Training
45,,Validation
45,,Training
45,,Validation
45,,Training
45,,Validation
53,,Training
53,,Validation
53,,Training
53,,Validation
53,,Training
53,,Validation
53,,Training
53,,Validation
53,,Training
53,,Validation
60,,Training
60,,Validation
60,,Training
60,,Validation
60,,Training
60,,Validation
60,,Training
60,,Validation
60,,Training
60,,Validation
68,,Training
68,,Validation
68,,Training
68,,Validation
68,,Training
68,,Validation
68,,Training
68,,Validation
68,,Training
68,,Validation
75,,Training
75,,Validation
75,,Training
75,,Validation
75,,Training
75,,Validation
75,,Training
75,,Validation
75,,Training
75,,Validation
82,,Training
82,,Validation
82,,Training
82,,Validation
82,,Training
82,,Validation
82,,Training
82,,Validation
82,,Training
82,,Validation
90,,Training
90,,Validation
90,,Training
90,,Validation
90,,Training
90,,Validation
90,,Training
90,,Validation
90,,Training
90,,Validation
97,,Training
97,,Validation
97,,Training
97,,Validation
97,,Training
97,,Validation
97,,Training
97,,Validation
97,,Training
97,,Validation
105,,Training
105,,Validation
105,,Training
105,,Validation
105,,Training
105,,Validation
105,,Training
105,,Validation
105,,Training
105,,Validation
112,,Training
112,,Validation
112,,Training
112,,Validation
112,,Training
112,,Validation
112,,Training
112,,Validation
112,,Training
112,,Validation
119,,Training
119,,Validation
119,,Training
119,,Validation
119,,Training
119,,Validation
119,,Training
119,,Validation
119,,Training
119,,Validation
127,0.968503937007874,Training
127,0.5166666666666667,Validation
127,0.968503937007874,Training
127,0.5166666666666667,Validation
127,0.968503937007874,Training
127,0.5166666666666667,Validation
127,0.968503937007874,Training
127,0.5254237288135594,Validation
127,0.9763779527559056,Training
127,0.5084745762711864,Validation
134,0.9253731343283582,Training
134,0.5666666666666667,Validation
